,Instructor,Course,Term,Enroll,Evals,Rcmnd_Class,Rcmnd_Instructor,Study_Hrs_Per_Wk,Grade_Expected,Grade,Link
0,"Kiselev, Yury",PHYS 1A - Mechanics A,S215,37,16,62.5,6.3,11.25,3.0,,https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=843237
1,"Gustafson, Scott Matthew",PHYS 1AL - Mechanics Laboratory 0,S215,33,10,88.9,88.9,5.61,3.44,,https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=843238
2,"Allen, Grant",PHYS 1B - Electricity and Magnetism A,S215,39,38,97.4,100.0,8.61,3.54,,https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=843240
3,"Gustafson, Scott Matthew",PHYS 1BL - Electricity & Magnetism Lab 0,S215,36,14,75.0,83.3,5.1,3.4,,https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=843241
4,"Markowitz, Alex Gary","PHYS 1C - Waves, Optics & Modern Physics A",S215,45,12,81.8,81.8,8.7,3.3,,https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=843243
5,"Gustafson, Scott Matthew","PHYS 1CL - Waves,Optics&Modrn Phys Lab 0",S215,45,9,83.3,83.3,4.17,3.5,,https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=843244
6,"Eldridge, Michael James",PHYS 2B - Phys-Electricity and Magnetism A,S215,99,29,88.5,76.9,8.5,3.63,,https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=843246
7,"Allen, Grant","PHYS 2C - Physics-Flu,Wav,Thrmdyn,Optics A",S215,116,113,89.4,85.8,7.62,3.3,,https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=843248
8,"Paddock, Mark","PHYS 2CL - Phys Lab-Elec,Magnetsm,Wav,Opt A",S215,76,22,57.9,94.7,9.97,3.42,,https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=843251
9,"Michelsen, Eric Leonard",PHYS 2D - Phys-Relativity&Quantm Physics A,S215,82,21,95.0,75.0,10.7,3.1,,https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=843253
10,"Kishimoto, Chad T.",PHYS 1A - Mechanics A,S115,45,14,72.7,90.9,7.59,3.0,,https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=842831
